Publication Date,New Loan Certificates,,,,,,,
,Pounds,Bid Shillings,Pennies,Pounds,Ask Shillings,Pennies,Bid Dollars,Ask Dollars
5/15/1786,,,,,,,0,0.00
7/31/1786,,6,6,,7,6,86.67,100.00
8/5/1786,,7,,,7,6,93.33,100.00
8/12/1786,,6,8,,7,6,88.89,100.00
9/30/1786,,7,,,7,6,93.33,100.00
1/19/1786,,3,4,,3,9,44.44,50.00
1/23/1788,,3,4,,3,6,44.44,46.67
1/26/1788,,3,4,,3,6,44.44,46.67
3/28/1788,,4,,,4,6,53.33,60.00
4/19/1788,,4,,,4,4,53.33,57.78
4/19/1788,,4,,,4,4,53.33,57.78
5/26/1788,,4,6,,5,,60.00,66.67
6/30/1788,,4,6,,5,,60.00,66.67
10/3/1788,,4,6,,5,,60.00,66.67
8/30/1788,,4,6,,5,,60.00,66.67
9/27/1788,,4,6,,5,,60.00,66.67
10/25/1788,,4,6,,5,,60.00,66.67
11/28/1788,,5,,,5,3,66.67,70.00
11/29/1788,,4,,,4,4,53.33,57.78
12/27/1788,,4,9,,5,,63.33,66.67
1/2/1789,,4,6,,5,,60.00,66.67
1/9/1789,,4,6,,5,,60.00,66.67
1/31/1789,,4,6,,5,,60.00,66.67
2/29/1789,,4,6,,5,,60.00,66.67
3/31/1789,,6,,,6,6,80.00,86.67
4/30/1789,,4,8,,5,3,62.22,70.00
5/30/1789,,4,10,,5,4,64.44,71.11
7/31/1789,,4,8,,5,3,62.22,70.00
9/30/1789,,4,8,,5,3,62.22,70.00
11/30/1789,,6,,,7,6,80.00,100.00
10/31/1789,,5,3,,6,,70.00,80.00
12/31/1789,,8,,,10,,106.67,133.33
,,,,,,,,
